:12
C1:1
C2:1
C3:1
C4:1
D1:1
F1:1
J1:1
J2:1
R1:1
R2:1
R4:1
R5:1
REF**:3
SW1:1
U1:1
U2:1
U3:1
U4:1
X1:1
p0.24:3
